pl_name,hostname,pl_letter,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate;;;;
Kepler-1022 b,Kepler-1022,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,1.86000000,0.16593809,,,,,,,19.2580,,,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,4306.00,0.636000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m24.49s,289.3520595,+46d58m25.08s,46.9736345,420.04200000,17.2730000,15.7580000,12.8210000,15.3772000,2018-09-04,2018-10,2018-09-06;;;;
Kepler-1022 b,Kepler-1022,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,10.99470891000,0.0805000000,1.71000000,0.15255624,,,,,,0.000000,16.2400,512.00,89.71000,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4302.00,0.586000,0.573000,-0.4400,[Fe/H],4.661000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m24.49s,289.3520595,+46d58m25.08s,46.9736345,420.04200000,17.2730000,15.7580000,12.8210000,15.3772000,2017-05-08,2017-08-31 00:00,2017-05-08;;;;
Kepler-1022 b,Kepler-1022,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,10.99469878000,0.0805000000,2.02000000,0.18021264,,,,,,0.000000,16.2400,512.00,88.81000,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,4302.00,0.586000,0.573000,-0.4400,[Fe/H],4.661000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m24.49s,289.3520595,+46d58m25.08s,46.9736345,420.04200000,17.2730000,15.7580000,12.8210000,15.3772000,2014-11-21,2014-12-18,2014-11-21;;;;
Kepler-1022 b,Kepler-1022,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,10.99471714000,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4283.00,0.676085,0.670000,,,4.604140,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m24.49s,289.3520595,+46d58m25.08s,46.9736345,420.04200000,17.2730000,15.7580000,12.8210000,15.3772000,2016-07-26,2016-07,2016-07-28;;;;
Kepler-1022 b,Kepler-1022,b,1,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,10.99469878000,,2.36000000,0.21054510,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4445.00,0.680000,0.710000,0.0600,[Fe/H],4.640000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m24.49s,289.3520595,+46d58m25.08s,46.9736345,420.04200000,17.2730000,15.7580000,12.8210000,15.3772000,2016-05-06,2016-05,2016-05-10;;;;
Kepler-1022 b,Kepler-1022,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,10.99470891000,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4283.00,0.676085,0.670000,,,4.604140,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m24.49s,289.3520595,+46d58m25.08s,46.9736345,420.04200000,17.2730000,15.7580000,12.8210000,15.3772000,2018-09-25,2018-08-16,2018-09-25;;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,62.13859790000,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5268.00,0.961753,0.900000,,,4.426180,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2018-09-25,2018-08-16,2018-09-25;;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,62.13839425130,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5268.00,0.961753,0.900000,,,4.426180,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2019-04-16,2019-03,2019-04-18;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,62.13877140000,0.3103000000,2.78000000,0.24801541,,,,,,0.000000,7.7500,426.00,89.95000,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5576.00,0.929000,1.031000,0.3000,[Fe/H],4.515000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2015-08-25,2015-09-24,2015-08-25;;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,62.13874912000,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5268.00,0.961753,0.900000,,,4.426180,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2016-07-26,2016-07,2016-07-28;;;;
Kepler-1023 b,Kepler-1023,b,1,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,62.13877140000,,2.63000000,0.23463288,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5494.00,0.890000,0.930000,0.0500,[Fe/H],4.510000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2016-05-06,2016-05,2016-05-10;;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,62.13877140000,0.3103000000,2.78000000,0.24801541,,,,,,0.000000,7.7500,426.00,89.95000,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5576.00,0.929000,1.031000,0.3000,[Fe/H],4.515000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2014-11-21,2014-12-18,2014-11-21;;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,2.93600000,0.26193238,,,,,,,6.9780,,,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,5354.00,0.926000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2018-09-04,2018-10,2018-09-06;;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,62.13859790000,0.3010000000,5.14000000,0.45856088,,,,,,0.000000,17.8800,524.00,89.52000,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5123.00,1.621000,0.941000,0.2000,[Fe/H],3.992000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2017-05-08,2017-08-31 00:00,2017-05-08;;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>,62.13877140000,0.3028400000,2.73000000,0.24355471,,,,,,,6.7000,,,0,<a refstr=FULTON__AMP__PETIGURA_2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..264F/abstract target=ref>Fulton &amp; Petigura 2018</a>,,5354.00,0.911000,0.959000,0.2600,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2024-12-05,2018-12,2024-12-05;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,62.14020000000,0.2920000000,2.70000000,0.24087828,,,,,,0.000000,,399.00,89.38000,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5434.00,0.810000,0.856000,,,4.550000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2013-10-28,2014-01-08,2013-10-28;;;;
Kepler-1023 b,Kepler-1023,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,62.13877140000,0.3103000000,2.78000000,0.24801541,,,,,,0.000000,7.7500,426.00,89.95000,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5576.00,0.929000,1.031000,0.3000,[Fe/H],4.515000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m07.13s,289.0297232,+49d46m10.93s,49.7697034,694.17500000,,14.7121000,12.7620000,14.5020000,2014-11-18,2014-12-04,2014-11-18;;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,66.41590000000,0.3130000000,3.30000000,0.29440679,,,,,,0.000000,,352.00,89.95000,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5186.00,0.740000,0.930000,,,4.670000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2013-10-28,2014-01-08,2013-10-28;;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,66.41604004000,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5242.74,0.810164,0.900000,-0.1620,[M/H],4.575160,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2016-07-26,2016-07,2016-07-28;;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,66.41621330000,0.3022000000,3.77000000,0.33633745,,,,,,0.000000,4.7000,376.00,89.95000,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5387.00,0.755000,0.840000,-0.2400,[Fe/H],4.603000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2014-11-21,2014-12-18,2014-11-21;;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,66.41621330000,0.3022000000,3.77000000,0.33633745,,,,,,0.000000,4.7000,376.00,89.95000,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5387.00,0.755000,0.840000,-0.2400,[Fe/H],4.603000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2014-11-18,2014-12-04,2014-11-18;;;;
Kepler-1024 b,Kepler-1024,b,1,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,66.41621330000,,3.91000000,0.34882684,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5143.00,0.780000,0.810000,-0.1000,[Fe/H],4.570000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2016-05-06,2016-05,2016-05-10;;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,,3.69100000,0.32928896,,,,,,,5.4460,,,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,5388.00,0.814000,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2018-09-04,2018-10,2018-09-06;;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,66.41621330000,0.3022000000,3.77000000,0.33633745,,,,,,0.000000,4.7000,376.00,89.95000,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5387.00,0.755000,0.840000,-0.2400,[Fe/H],4.603000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2015-08-25,2015-09-24,2015-08-25;;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,66.41641965510,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5242.74,0.810164,0.900000,-0.1620,[M/H],4.575160,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2019-04-16,2019-03,2019-04-18;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,66.41597890000,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5242.74,0.810164,0.900000,-0.1620,[M/H],4.575160,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2018-09-25,2018-08-16,2018-09-25;;;;
Kepler-1024 b,Kepler-1024,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,66.41597890000,0.3033000000,3.44000000,0.30689677,,,,,,0.000000,4.7100,376.00,89.70000,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5383.00,0.759000,0.851000,-0.2200,[Fe/H],4.603000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m48.25s,291.9510277,+38d15m05.91s,38.2516419,1087.40000000,16.2340000,16.2720000,14.0500000,16.0064000,2017-05-08,2017-08-31 00:00,2017-05-08;;;;
Kepler-1025 b,Kepler-1025,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,37.32281000000,0.2280000000,2.00000000,0.17842836,,,,,,0.000000,,598.00,88.81000,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,6290.00,1.060000,1.130000,,,4.440000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h58m02.45s,284.5102140,+43d57m41.63s,43.9615628,803.77600000,14.3650000,13.6950000,12.2170000,13.5557000,2013-10-28,2014-01-08,2013-10-28;;;;
Kepler-1025 b,Kepler-1025,b,0,1,1,0,Transit,2016,Kepler,0,0,0,1,0,0,0,0,0,0,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,37.32294930000,0.2186000000,1.64000000,0.14631125,,,,,,0.000000,24.6000,568.00,89.95000,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,6253.00,0.927000,0.997000,-0.4200,[Fe/H],4.503000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h58m02.45s,284.5102140,+43d57m41.63s,43.9615628,803.77600000,14.3650000,13.6950000,12.2170000,13.5557000,2014-11-18,2014-12-04,2014-11-18;;;;
