pl_name,hostname,pl_letter,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate;;;;
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,0,2,3,0,Eclipse Timing Variations,2015,Kepler,0,0,0,0,0,0,0,1,0,0,Published Confirmed,0,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,416.00000000000,0.9200000000,,,603.87700000,603.87700000,1.90000000,Mass,,,,,,0,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,,,,0.480000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.33200000,12.1120000,12.6510000,12.9550000,12.1376000,2015-06-04,2015-05,2015-06-04;;;;
2MASS J21252752-8138278 b,2MASS J21252752-8138278,b,1,1,1,0,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,0,0,0,0,0,0,0,1,0,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,7493.0000000000,,,3813.94088400,3813.94088400,12.00000000,Mass,,,,1616.00,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.11540000,13.3080000,11.8040000,7.3410000,10.8133000,2024-05-07,2024-01,2024-05-07;;;
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,1,0,Imaging,2016,W. M. Keck Observatory,0,0,0,0,0,0,0,0,1,0,Published Confirmed,0,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,,230.0000000000,,,3972.87500000,3972.87500000,12.50000000,Mass,,,,,,0,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,K7 V,4045.00,,0.600000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.57370000,13.7310000,12.3680000,9.1480000,11.9484000,2016-11-09,2017-01,2016-11-10;;;;
51 Eri b,51 Eri,b,0,3,1,0,Imaging,2015,Gemini Observatory,0,0,0,0,1,0,0,0,1,0,Published Confirmed,0,<a refstr=DE_ROSA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814L...3D/abstract target=ref>De Rosa et al. 2015</a>,14965.00000000000,14.0000000000,,,,,,,,0.210000,,,138.00000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,7295.00,1.487260,1.650000,,,4.310780,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000,5.4860000,5.2114900,4.5370000,5.1580600,2019-07-08,2015-11,2015-12-03;;;;
51 Eri b,51 Eri,b,0,3,1,0,Imaging,2015,Gemini Observatory,0,0,0,0,1,0,0,0,1,0,Published Confirmed,0,<a refstr=MAIRE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A.118M/abstract target=ref>Maire et al. 2019</a>,11688.00000000000,12.0000000000,,,,,,,,0.450000,,,133.00000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,7295.00,1.487260,1.650000,,,4.310780,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000,5.4860000,5.2114900,4.5370000,5.1580600,2019-07-09,2019-04,2019-07-11;;;;
51 Eri b,51 Eri,b,1,3,1,0,Imaging,2015,Gemini Observatory,0,0,0,0,1,0,0,0,1,0,Published Confirmed,0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,,13.2000000000,,,635.66000000,635.66000000,2.00000000,Mass,,,,700.00,,0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,F0 IV,,,1.750000,-0.0270,[M/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000,5.4860000,5.2114900,4.5370000,5.1580600,2019-07-08,2015-00,2015-08-14;;;;
7 CMa c,7 CMa,c,1,1,2,0,Radial Velocity,2019,Multiple Observatories,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,996.00000000000,2.1530000000,,,,276.51210000,0.87000000,Msin(i)/sin(i),,0.080000,,,90.00000,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,,4826.00,4.870000,1.340000,0.2100,[Fe/H],3.190000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.81010000,5.0130000,3.9500000,1.5640000,3.6785300,2019-10-18,2019-11,2019-10-24;;;;
7 CMa c,7 CMa,c,0,1,2,0,Radial Velocity,2019,Multiple Observatories,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=LIN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...27L/abstract target=ref>Lin et al. 2024</a>,,2.2050000000,,,,289.90000000,0.91200000,Msini,,,,,,0,<a refstr=LIN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...27L/abstract target=ref>Lin et al. 2024</a>,,,5.198000,1.439000,,,3.165000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.81010000,5.0130000,3.9500000,1.5640000,3.6785300,2024-09-13,2024-07,2024-09-13;;;;
75 Cet c,75 Cet,c,1,2,2,0,Radial Velocity,2023,Okayama Astrophysical Observatory,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,2051.62000000000,3.9290000000,,,,289.85950718,0.91200000,Msini,,0.023000,,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 III,4809.00,10.380000,1.920000,0.1000,[Fe/H],2.690000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.96130000,6.3660000,5.3532000,3.2070000,5.0934300,2023-09-19,2023-08,2023-09-19;;;;
8 UMi b,8 UMi,b,1,1,1,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1,0,0,0,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,93.40000000000,0.4900000000,,,,416.35730000,1.31000000,Msini,,0.060000,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4847.00,10.300000,1.440000,-0.0300,[Fe/H],2.570000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.55200000,7.8340000,6.8329500,4.5150000,6.5589600,2018-09-04,2017-03,2018-09-06;;;;
